date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:02	26/26	---M--	200	added ('OK')	text/plain	date:Wed,%2019%20Oct%202022%2012:48:04%20GMT	https://dtpregnancy.wpengine.com/robots.txt		(from )
18:18:03	99131/99131	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2012:48:04%20GMT	https://dtpregnancy.wpengine.com/side-navigation/work-maternity-leave/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/WorkMaternityLeave/dtpregnancy.wpengine.com/side-navigation/work-maternity-leave/index.html	(from )
18:18:03	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2012:48:05%20GMT	http://explorercanvas.googlecode.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/WorkMaternityLeave/explorercanvas.googlecode.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/work-maternity-leave/)
18:18:03	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2012:48:05%20GMT	http://fonts.googleapis.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/WorkMaternityLeave/fonts.googleapis.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/work-maternity-leave/)
18:18:03	178/178	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Oct%202022%2012:48:05%20GMT	http://code.jquery.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/WorkMaternityLeave/code.jquery.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/work-maternity-leave/)
18:18:03	1905/1905	---MC-	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2012:48:05%20GMT	https://fonts.googleapis.com/css?family=Lato:100,300,regular,700,900%7COpen+Sans:300%7CIndie+Flower:regular%7COswald:300,regular,700&subset=latin%2Clatin-ext	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/WorkMaternityLeave/fonts.googleapis.com/css0f22.css	(from https://dtpregnancy.wpengine.com/side-navigation/work-maternity-leave/)
18:18:03	204/204	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Jan%202021%2022:04:58%20GMT	http://maxcdn.bootstrapcdn.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/WorkMaternityLeave/maxcdn.bootstrapcdn.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/work-maternity-leave/)
18:18:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Oct%202022%2012:48:06%20GMT	http://s.w.org/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/WorkMaternityLeave/s.w.org/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/work-maternity-leave/)
18:18:04	9475/9475	---MCZ	200	added ('OK')	text/css	etag:W/%22622abd8e-2503%22	http://dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=6.0.2	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/WorkMaternityLeave/dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto5b21.css	(from https://dtpregnancy.wpengine.com/side-navigation/work-maternity-leave/)
18:18:04	32773/32773	---M-Z	200	added ('OK')	text/css	etag:W/%2262f659d6-8005%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/WorkMaternityLeave/code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui5b21.css	(from https://dtpregnancy.wpengine.com/side-navigation/work-maternity-leave/)
